@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.598,0.724,8,-7.212,0,0.0497,0.0241,0,0.198,0.691,122.892,251053,4,251.05333,0,233.13415,-7.212,122.892,0.291,4,1,8,0.759,0,0.472
0,0.328,0.546,7,-10.031,1,0.032,0.457,0.0565,0.0725,0.224,169.975,380213,4,380.21333,4.8878,348.31093,-10.031,169.975,0.053,4,0.96,7,0.723,1,0.717
1,0.603,0.661,1,-9.41,0,0.0309,0.196,0.00148,0.32,0.404,98.35,193307,4,193.30667,0,189.53868,-9.41,98.35,0.737,4,1,1,0.769,0,0.724
1,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,4,199.08,0.12145,194.37424,-3.804,128.038,0.924,4,0.892,1,0.674,1,0.545
0,0.344,0.473,11,-6.887,1,0.0279,0.182,0.000113,0.104,0.0558,177.786,347333,4,347.33333,0.13941,323.28562,-6.887,177.786,0.149,4,1,11,0.463,1,0.551
1,0.748,0.696,0,-5.975,1,0.0493,0.0174,0,0.267,0.891,127.002,208360,4,208.36,0.1741,203.7551,-5.975,127.002,0.95,4,1,0,0.46,1,0.22
0,0.503,0.549,10,-6.513,0,0.0426,0.466,0,0.293,0.176,109.401,234147,4,234.14667,0.17333,223.7707,-6.513,109.401,0.324,4,1,10,0.889,0,0.799
0,0.334,0.18,0,-12.971,1,0.0372,0.946,0.00326,0.257,0.371,172.733,231467,4,231.46667,0.20816,219.51565,-12.971,172.733,0.044,4,0.744,0,0.661,1,0.685
1,0.782,0.836,1,-4.683,0,0.0927,0.000435,0.794,0.114,0.875,135.995,347987,4,347.98667,0.19156,345.58259,-4.683,135.995,0.985,4,1,1,1,0,0.709
0,0.487,0.776,11,-9.202,1,0.0465,0.0791,0.151,0.224,0.686,142.056,331573,4,331.57333,5.41025,322.58902,-9.202,142.056,0.758,4,0.849,11,0.329,1,0.418
0,0.132,0.302,8,-12.36,0,0.0397,0.583,0.639,0.188,0.0368,144.69,398307,4,398.30667,0.29002,387.3785,-12.36,144.69,0.083,4,0.296,8,0.275,0,0.464
1,0.645,0.842,4,-7.369,0,0.36,0.0143,0,0.353,0.638,93.402,281867,4,281.86667,2.04336,268.57941,-7.369,93.402,0.253,4,1,4,0.377,0,0.287
0,0.453,0.496,5,-5.785,1,0.0453,0.554,0.0000265,0.0772,0.501,80.994,239317,4,239.31669,0,231.14884,-5.785,80.994,0.481,4,0.927,5,0.446,1,0.512
0,0.37,0.415,5,-9.114,0,0.0284,0.33,0.0000115,0.0827,0.414,91.263,344000,4,344,0,322.66449,-9.114,91.263,0.485,4,0.87,5,0.548,0,0.845
1,0.226,0.966,1,-5.594,1,0.0768,0.0000265,0.702,0.495,0.396,143.751,186813,4,186.81333,1.341,186.81334,-5.594,143.751,0.817,4,0.973,1,0.604,1,0.587
1,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.526,235213,4,235.21333,0.09279,221.92472,-2.261,79.526,0.375,4,1,4,0.405,0,0.468
0,0.667,0.548,9,-7.802,1,0.0262,0.744,0.0122,0.0946,0.29,112.549,286880,4,286.88,0.20875,280.52608,-7.802,112.549,0.858,4,0.946,9,0.817,1,0.694
0,0.502,0.673,8,-8.82,1,0.0466,0.662,0.0379,0.111,0.245,145.956,261827,4,261.82667,0.18077,248.4419,-8.82,145.956,0.144,4,0.996,8,0.367,1,0.409
0,0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,295493,4,295.49333,0.41315,277.24626,-6.095,157.966,0.02,4,0.975,5,0.369,0,0.544
1,0.965,0.736,9,-5.005,0,0.144,0.218,0,0.0595,0.921,107.07,228227,4,228.22667,0,228.22667,-5.005,107.07,0.955,4,1,9,0,0,0
0,0.231,0.776,3,-6.797,1,0.0353,0.000102,0,0.162,0.513,158.689,226093,4,226.09333,0.10159,210.88363,-6.797,158.689,0.41,4,1,3,0.797,1,0.78
0,0.306,0.849,10,-5.355,0,0.0502,0.0000366,0,0.126,0.372,166.693,243547,3,243.54667,0.11433,235.32844,-5.355,166.693,0.474,3,0.798,10,0.529,0,0.565
0,0.689,0.881,11,-1.448,0,0.0545,0.288,0.0000169,0.0746,0.532,109.991,174545,4,174.54544,0,164.93134,-1.448,109.991,0.759,4,1,11,0.478,0,0.568
0,0.479,0.568,0,-6.663,1,0.0288,0.622,0,0.316,0.433,90.513,253973,4,253.97333,0.09846,249.0224,-6.663,90.513,0.68,4,0.923,0,0.515,1,0.642
0,0.497,0.194,5,-17.237,1,0.0364,0.828,0.0000188,0.102,0.511,105.656,133227,4,133.22667,0.2541,127.34984,-17.237,105.656,0.373,4,1,5,0.856,1,0.767
1,0.713,0.898,2,-6.009,0,0.111,0.0197,0.0000262,0.435,0.858,124.976,268840,4,268.84,0,268.84,-6.009,124.976,0.944,4,1,2,0.157,0,0.254
0,0.26,0.264,7,-12.279,1,0.0299,0.885,0.0799,0.191,0.159,79.652,290067,4,290.06739,0,270.73306,-12.279,79.652,0.24,4,0.366,7,0.744,1,0.674
1,0.51,0.747,5,-4.124,1,0.0651,0.031,0,0.233,0.347,125.951,210013,4,210.01279,0.1468,205.10186,-4.124,125.951,0.858,4,0.983,5,0.283,1,0.373
0,0.385,0.48,0,-8.37,1,0.037,0.00499,0.000125,0.0921,0.171,138.821,210200,4,210.2,0,201.33442,-8.37,138.821,0.215,4,0.865,0,0.657,1,0.689
1,0.666,0.975,3,-3.47,1,0.0345,0.0135,0.000925,0.105,0.452,128.005,191388,4,191.38757,0,186.97288,-3.47,128.005,0.716,4,1,3,0.99,1,0.792
