@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
0,0.499,0.583,7,-9.191,1,0.0322,0.464,0.00747,0.0971,0.194,151.999,246413,4,246.41333,5.00971,234.13261,-9.191,151.999,0.375,4,1,7,0.422,1,0.318
0,0.333,0.429,6,-10.019,0,0.0942,0.539,0.0205,0.31,0.316,94.149,301800,4,301.8,0.26712,284.29932,-10.019,94.149,0.023,4,0.468,6,0.416,0,0.584
0,0.634,0.624,6,-7.846,0,0.028,0.00275,0,0.113,0.292,115.027,247960,4,247.96,3.55265,232.2634,-7.846,115.027,0.805,4,0.976,6,0.206,0,0.534
1,0.881,0.874,6,-4.505,1,0.139,0.0175,0.00000119,0.154,0.858,107.891,227933,4,227.93333,0.09288,218.59846,-4.505,107.891,0.932,4,1,6,1,1,0.665
1,0.794,0.745,9,-11.367,0,0.037,0.271,0.00041,0.143,0.706,124.249,225882,4,225.88227,0.56404,215.55084,-11.367,124.249,0.844,4,0.987,9,0.683,0,0.588
0,0.446,0.152,0,-14.579,1,0.039,0.819,0.0222,0.1,0.111,105.212,293453,3,293.45333,0.0605,276.64254,-14.579,105.212,0.018,3,1,0,0.525,1,0.613
0,0.328,0.141,4,-18.694,1,0.0553,0.949,0.00297,0.135,0.0834,138.845,203147,3,203.14667,0.07474,188.45315,-18.694,138.845,0.025,3,0.449,4,0.484,1,0.501
1,0.719,0.917,1,-5.535,1,0.0616,0.0943,0,0.593,0.187,119.032,231782,4,231.78159,0.08703,227.79937,-5.535,119.032,0.478,4,0.815,1,0.319,1,0.318
0,0.554,0.601,2,-5.327,1,0.0373,0.0484,0,0.11,0.341,125.027,203362,4,203.36227,0.19705,196.96327,-5.327,125.027,0.731,4,0.934,2,0.609,1,0.65
1,0.503,0.741,5,-5.672,1,0.0357,0.000314,0.574,0.44,0.544,120.998,177240,4,177.24,2.49615,167.60744,-5.672,120.998,0.533,4,0.956,5,0.781,1,0.686
1,0.911,0.707,8,-4.136,1,0.0696,0.102,0,0.049,0.375,94.964,199938,4,199.93819,0,192.79528,-4.136,94.964,0.325,4,1,8,0.536,1,0.615
0,0.394,0.51,6,-8.407,1,0.0335,0.00367,0.378,0.112,0.1,108.275,324027,4,324.02667,0.27918,296.04281,-8.407,108.275,0.62,4,0.903,6,0.554,1,0.752
1,0.671,0.742,5,-9.912,1,0.0441,0.121,0.679,0.0601,0.897,89.748,135240,4,135.24,0.18721,128.76045,-9.912,89.748,0.195,4,1,5,0.467,1,0.459
1,0.58,0.855,9,-4.02,0,0.0748,0.0256,0.00193,0.123,0.552,160.526,184681,4,184.68073,0.15147,181.54522,-4.02,160.526,0.667,4,0.808,9,0.115,0,0.359
